# Ra        |Nu        |Nuv       |sigma     |res       |fname           
 1.380e+06      6.702      4.372  -3.35e-02   4.70e-09  b'Ra1.380e+06_'
 1.413e+06      6.725      4.393  -3.49e-02   3.49e-09  b'Ra1.413e+06_'
 1.445e+06      6.746      4.413  -3.62e-02   4.34e-09  b'Ra1.445e+06_'
 1.479e+06      6.769      4.433  -3.78e-02   6.47e-09  b'Ra1.479e+06_'
 1.514e+06      6.791      4.453  -3.96e-02   5.49e-09  b'Ra1.514e+06_'
 1.549e+06      6.813      4.472  -4.16e-02   9.98e-09  b'Ra1.549e+06_'
 1.585e+06      6.835      4.490  -4.39e-02   4.80e-09  b'Ra1.585e+06_'
 1.622e+06      6.856      4.507  -4.66e-02   3.87e-09  b'Ra1.622e+06_'
 1.660e+06      6.877      4.524  -4.86e-02   6.37e-09  b'Ra1.660e+06_'
 1.698e+06      6.897      4.539  -4.82e-02   6.58e-09  b'Ra1.698e+06_'
 1.738e+06      6.917      4.554  -4.77e-02   4.28e-09  b'Ra1.738e+06_'
 1.778e+06      6.936      4.566  -4.72e-02   8.97e-09  b'Ra1.778e+06_'
 1.820e+06      6.955      4.577  -4.68e-02   3.70e-09  b'Ra1.820e+06_'
 1.862e+06      6.971      4.585  -4.64e-02   6.17e-09  b'Ra1.862e+06_'
 1.905e+06      6.986      4.590  -4.60e-02   7.61e-09  b'Ra1.905e+06_'
 1.950e+06      6.998      4.592  -4.56e-02   6.31e-09  b'Ra1.950e+06_'
 1.995e+06      7.008      4.589  -4.52e-02   5.34e-09  b'Ra1.995e+06_'
 2.042e+06      7.012      4.580  -4.48e-02   3.14e-09  b'Ra2.042e+06_'
 2.089e+06      7.011      4.563  -4.44e-02   7.20e-09  b'Ra2.089e+06_'
 2.138e+06      7.000      4.533  -4.21e-02   4.78e-09  b'Ra2.138e+06_'
 2.188e+06      6.974      4.487  -3.26e-02   3.86e-09  b'Ra2.188e+06_'
 2.239e+06      6.926      4.416  -2.16e-02   4.43e-09  b'Ra2.239e+06_'
 2.291e+06      6.837      4.304  -7.47e-03   6.45e-09  b'Ra2.291e+06_'
 2.344e+06      6.678      4.129   1.14e-02   1.05e-06  b'Ra2.344e+06_'
 2.399e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.455e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.512e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.570e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.630e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.692e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.754e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.818e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.884e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 2.951e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 3.020e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 3.090e+06      0.000      0.000   0.00e+00   0.00e+00              b''
 3.162e+06      0.000      0.000   0.00e+00   0.00e+00              b''
